罢	ba4	282660.6089	25221		121	54	罒		土	
研	yan2	282607.0045	13	251	1132			口		
约	yue1	282293.8016	551		354		纟			
换	huan4	282227.179	121		35	25134	手			
注	zhu4	281495.096	441		41	121	水			土
呀	ya5	281374.869	251		1523		口			
饭	fan4	281006.5302	355		33	54				又
沉	chen2	280916.9343	441		45	35	水			几
层	ceng2	280890.8978	513		11	54	尸			
害	hai4	279696.2854	445		1112	251	宀			口
支	zhi1	278964.2025	12		54		十		又	
户	hu4	278451.1317	4513							
睛	jing1	278320.9496	25111		1121	2511	目			月
称	cheng1	278091.2165	31234		35	234	禾			
角	jiao3	276752.638	35		35112					
索	suo3	276150.7371	1245		554	234	十			
政	zheng4	275876.5889	12121		3134				攵	
雷	lei2	274689.6343	14524444		25121					
参	can1	274246.2493	54	134	333			大		
摇	yao2	273969.0379	121		3443	311252	手			
待	dai4	273919.2624	332		121	124	彳		土	寸
假	jia3	273711.7368	32		51211	5154	亻			
希	xi1	272801.9935	34		13	252				
朝	chao2	272271.3099	122511	12	3511		十	十	月	
丝	si1	272110.4967	55	55	1					
宝	bao3	272082.9287	445		1121	4	宀		王	
首	shou3	271386.0715	431		325111					
楚	chu3	271092.7788	1234	1234	52134		木	木		
联	lian2	269265.6345	122111		43	1134	耳			一
攻	gong1	269202.8408	121		3134		工		攵	
船	chuan2	267757.0535	335414		35	251			几	口
佛	fo2	267584.7536	32		51532		亻			
香	xiang1	267479.8421	31234		2511		禾		日	
初	chu1	266642.0819	45234		53				刀	
秋	qiu1	265717.7888	31234		4334		禾		火	
雪	xue3	264534.6631	14524444		511					
诉	su4	263686.182	45		33124		讠			
斗	dou4	263572.0812	44		12				十	
库	ku4	263131.7593	413		1512		广		车	
病	bing4	262934.1888	41341		12534		疒			
旁	pang2	262588.0575	414345		4153				方	
选	xuan3	262488.5065	3121	35	454		丿	儿	辶	
您	nin2	262097.1943	32	35234	4544		亻		心	
既	ji4	261354.3905	51154		1535					
丽	li4	261252.5421	1		254	254				
赵	zhao4	260290.726	121	2134	34		土			
酒	jiu3	260280.0051	441		1253511		水		酉	
背	bei4	260084.7319	211	35	2511			匕	月	
举	ju3	259579.319	443134		112					
痛	tong4	259381.7485	41341		54	25112	疒			
争	zheng1	258345.6519	35		5112					
杨	yang2	257975.0158	1234		533		木			
叶	ye4	257095.1378	251		12		口		十	
密	mi4	256502.4263	445	45434	252		宀		山	
散	san4	255440.2933	1221	2511	3134			月	攵	
群	qun2	255170.7398	5113251		43	1112				
戏	xi4	254577.2624	54		1534		又			
讲	jiang3	251664.2461	45		1132		讠			
司	si1	251435.2787	51		251				口	
证	zheng4	250651.8886	45		12121		讠			
汉	han4	250136.5206	441		54		水		又	
雨	yu3	249706.9196	12524444							
志	zhi4	249379.167	121		4544		士		心	
露	lu4	248043.6516	14524444		2512121	354251			足	夂
旧	jiu4	247610.2217	2		2511				日	
校	xiao4	247426.4352	1234		41	3434	木			
皇	huang2	246588.6749	32511		1121		白		王	
派	pai4	246033.4865	441		33	3534	水			
篇	pian1	244783.7381	314314		4513	25122	竹			
赶	gan3	244230.0812	121	2134	112		土			
